Class	Name	Data	Option
Table	10.0x7.5x6.0	10.0x7.5x6.0	
Table	8.5x7.5x6.0	8.5x7.5x6.0	
Construct	5.0x18.0x7.0	5.0x18.0x7.0	
Construct	5.0x15.0x16.0	5.0x15.0x16.0	
Light	spot	spot	
Light	wide	wide	
Frame	Metal	Metal	
Frame	MetalGold	MetalGold	
Frame	WoodenWhite	WoodenWhite	
Frame	WoodenBlack	WoodenBlack	
Frame	Wooden	Wooden	
Frame	Wooden_thin	Wooden_thin	
Frame	Wooden_thin2	Wooden_thin2	
Frame	none(caption)	none(caption)	
2DObject	サンプルの絵	https://virtualion.github.io/webgl-editor-test-0819/web-contents/sample-img/無題.png	https://virtualion.github.io/webgl-editor-test-0819/web-contents/sample-img/無題.png
2DObject	源氏物語	https://virtualion.github.io/webgl-editor-test-0819/web-contents/sample-img/genji.jpg	https://ndlsearch.ndl.go.jp/imagebank/theme/genjiemaki
2DObject	スプラッシュ	https://virtualion.github.io/webgl-editor-test-0819/web-contents/sample-img/Splash.png	https://virtualion.com
3DObject		https://virtualion.github.io/webgl-editor-test-0819/web-contents/sample-3d/f1961_bottom.zip	
Audio	テスト音声(Webから)	https://virtualion.github.io/webgl-editor-test-0819/web-contents/sample-audio/01.femal.wav	
2DObject	Caption-Ritual-wine-ewer	https://virtualion.github.io/webgl-editor-test-0819/web-contents/sample-caps/Ritual-wine-ewer.png	https://sketchfab.com/models/c2898500387d40678d26d15d12809608/embed
